Year,ARSON,ASSAULT,BATTERY,BURGLARY,CONCEALED CARRY LICENSE VIOLATION,CRIM SEXUAL ASSAULT,CRIMINAL DAMAGE,CRIMINAL TRESPASS,DECEPTIVE PRACTICE,DOMESTIC VIOLENCE,GAMBLING,HOMICIDE,HUMAN TRAFFICKING,INTERFERENCE WITH PUBLIC OFFICER,INTIMIDATION,KIDNAPPING,LIQUOR LAW VIOLATION,MOTOR VEHICLE THEFT,NARCOTICS,NON - CRIMINAL,NON-CRIMINAL,NON-CRIMINAL (SUBJECT SPECIFIED),OBSCENITY,OFFENSE INVOLVING CHILDREN,OTHER NARCOTIC VIOLATION,OTHER OFFENSE,PROSTITUTION,PUBLIC INDECENCY,PUBLIC PEACE VIOLATION,RITUALISM,ROBBERY,SEX OFFENSE,STALKING,THEFT,TOTAL CRIME,WEAPONS VIOLATION
2001,0.16623443,5.165446874,15.3803057,4.281112625,0,0.295436437,9.192434786,2.179152326,2.45121719,0.000164589,0.1537257,0.109780559,0,0.066822949,0.045920204,0.153561112,0.269431447,4.534249806,8.322748918,0,0,0,0.003127182,0.368184574,0.000987531,4.881037869,0.991810568,0.001481297,0.452618497,0.001316708,3.035177345,0.366867865,0.033411474,16.33771726,79.94493526,0.703451438
2002,0.169855378,5.187995504,15.49634062,4.21725227,0,0.301032447,9.207083167,2.284488995,2.256508942,0,0.159815476,0.108134674,0,0.059416464,0.055466339,0.136443903,0.232728202,4.134628821,8.523876119,0,0,0,0.004279302,0.423157147,0.000822943,5.365421955,1.054683392,0.001316708,0.404394053,0.000329177,3.048509017,0.356663375,0.032917709,16.18349779,80.11166345,0.704603558
2003,0.15718206,4.85157652,14.54567719,4.14038942,0,0.261366608,9.054180409,2.437062575,2.212728389,0,0.179072336,0.099411481,0,0.067152126,0.05991023,0.116034924,0.215775582,3.744060205,8.935182892,0,0.000164589,0,0.002633417,0.498867878,0.000329177,5.126439389,1.022753214,0.000987531,0.399950163,0.000329177,2.852648649,0.34036911,0.04065337,16.27369232,78.32966328,0.69308236
2004,0.128049887,4.748379502,14.34125822,4.042953002,0,0.257910249,8.750185368,2.619097505,2.178329383,0,0.184668347,0.074723199,0,0.087396517,0.057441402,0.07916709,0.162119716,3.753441752,9.391422336,0,0,0,0.002139651,0.505945185,0.001481297,4.860464301,1.230463957,0.001481297,0.410648418,0.000164589,2.62979576,0.296588557,0.035386537,15.7121162,77.2504562,0.707236975
2005,0.113730684,4.454753539,13.81951253,4.197666233,0,0.253795535,8.977975913,2.741222205,2.230668541,0,0.177426451,0.074558611,0,0.101221955,0.042463844,0.064024944,0.165411487,3.702748481,9.255472199,0,0,0,0.003127182,0.473521242,0.001481297,4.613087719,1.007940245,0.000658354,0.449326726,0.000329177,2.64115237,0.296753145,0.031601001,14.10276942,74.67020159,0.675800563
2006,0.119491283,4.270249781,13.27653492,4.003451751,0,0.240299275,9.401956003,2.387356835,2.231656072,0,0.225157129,0.078508736,0,0.124758117,0.045426438,0.055795517,0.186807998,3.590992859,9.186180422,0,0,0,0.002798005,0.451795554,0.001481297,4.46034955,1.15771582,0.000658354,0.504957654,0.00115212,2.628149875,0.256922718,0.030613469,14.19378688,73.74389726,0.628892828
2007,0.117187044,4.330982954,13.09976683,4.091342034,0,0.25214965,8.846469666,2.254698468,2.323990245,0,0.231905259,0.073735668,0,0.111426444,0.041970079,0.05431422,0.192568597,3.056903033,8.96250459,0,0,0,0.001810474,0.471381591,0.001975063,4.421342065,1.001850469,0.000822943,0.545611024,0.000164589,2.542893009,0.250339176,0.03505736,14.01570208,71.9158123,0.584947686
2008,0.105995023,4.188284686,12.49605605,4.315182454,0,0.24984541,8.697023268,2.02608498,2.445621179,0,0.197341665,0.084433923,0,0.095461356,0.04295761,0.059087287,0.150104752,3.107596304,7.654519429,0,0,0,0.002139651,0.428917746,0.001975063,4.367027845,0.846149706,0.000658354,0.495905284,0,2.749122455,0.2442494,0.031271823,14.55456497,70.27568746,0.638109786
2009,0.101386543,3.762658711,11.26806092,4.405376976,0,0.231905259,7.854823687,1.785950294,2.266055078,0,0.163107247,0.07571073,0,0.094309236,0.038019954,0.048224443,0.122783054,2.548159842,7.166678983,0,0.000164589,0,0.003456359,0.420029965,0.00115212,4.213631322,0.648478864,0.001645885,0.517960149,0,2.629960349,0.204912738,0.027486287,13.32706361,64.61351236,0.684359167
2010,0.08591522,3.544414301,10.76425538,4.348758517,0,0.221371592,6.69101809,1.547296905,2.048798199,0,0.152573581,0.072089782,0,0.131012481,0.032423943,0.051516214,0.121137169,3.13179082,7.141990702,0,0.000164589,0,0.005431422,0.415421486,0.000987531,3.622923037,0.409002533,0.00115212,0.58231427,0,2.349172292,0.182528696,0.031107235,12.63200618,60.92821026,0.609635968
2011,0.082952626,3.359416777,9.95069421,4.38118246,0,0.241286806,6.144419535,1.425172205,2.064434111,0,0.121137169,0.071925194,0,0.172488794,0.028144641,0.043780553,0.101880309,3.190878108,6.35410534,0,0,0,0.006583542,0.381845423,0.000822943,3.322713532,0.398962631,0.002139651,0.509401545,0,2.301277026,0.176109742,0.029790527,12.36800616,57.87015511,0.638603552
2012,0.077192027,3.274982854,9.732614389,3.759860705,0,0.23174067,5.901157666,1.352094891,2.219805697,0,0.119162106,0.082952626,0,0.202114732,0.025675813,0.038842896,0.094309236,2.714394272,5.840753671,0,0.000987531,0.000329177,0.004279302,0.359955146,0.000987531,2.876843165,0.362753152,0.002798005,0.494917753,0,2.21947652,0.172817971,0.034069829,12.41935779,55.2597808,0.642553677
2013,0.05991023,2.957820729,8.888275156,2.945147411,0,0.208533686,5.078050357,1.338927808,2.227047593,0,0.098094772,0.069456366,0.000329177,0.210837925,0.022054865,0.039995016,0.076533673,2.070523887,5.617242428,0.000493766,0.000658354,0,0.003950125,0.3821746,0.000822943,2.960289557,0.271900275,0.001645885,0.515985086,0,1.945436593,0.167221961,0.025182047,11.77170186,50.49049855,0.534254415
2014,0.065341652,2.781217221,8.13824516,2.397890502,0.002468828,0.216433936,4.575232354,1.240668447,2.531865577,0,0.064683298,0.069950131,0.000329177,0.230094785,0.019092271,0.03620948,0.065341652,1.631566239,4.768788482,0.001645885,0.002798005,0.000164589,0.006089776,0.386618491,0.001645885,2.792903008,0.267620973,0.001645885,0.477800544,0,1.612967734,0.156852883,0.023042396,10.12861443,45.2083584,0.512528727
2015,0.074229433,2.804753383,8.049696523,2.169441602,0.005596011,0.222029946,4.718918153,1.053531272,2.56083316,0,0.051022449,0.081965095,0.002139651,0.215281816,0.019915214,0.031271823,0.048059855,1.657900406,3.92329713,0.003291771,0.002468828,0,0.007571073,0.364563626,0.000822943,2.886389301,0.217586056,0.00230424,0.398468866,0,1.586468978,0.156852883,0.025346636,9.432569472,43.32793428,0.553346686
2016,0.085256866,3.082414257,8.273866121,2.350818178,0.005925188,0.243261868,5.10257405,1.038059949,2.962758385,0,0.031107235,0.128543653,0.001810474,0.1537257,0.021725688,0.033246886,0.0373616,1.861331847,2.171581253,0.000822943,0.00790025,0.000164589,0.008723193,0.369172105,0.000658354,2.826972836,0.131670835,0.001645885,0.264164614,0,1.967820635,0.154384055,0.028473818,10.11939747,44.0345129,0.567172124
